id,name,city,country,address,price_per_night,rating,review_count,star_rating,image_url,description,amenities,free_cancellation,created_at,updated_at
1,Grand Plaza Hotel,Paris,France,"12 Rue de la Paix, 75002 Paris",189.00,4.8,1243,5,https://picsum.photos/seed/hotel-1/400/260,"Elegant luxury hotel in the heart of Paris with stunning city views and world-class dining.",WiFi|Pool|Spa|Restaurant|Bar|Room Service|Gym|Concierge,1,2024-01-15 10:00:00,2025-02-01 12:00:00
2,Sakura Resort & Spa,Tokyo,Japan,"1-2-3 Shibuya, Shibuya-ku, Tokyo 150-0002",312.00,4.9,892,5,https://picsum.photos/seed/hotel-2/400/260,"Traditional Japanese luxury with modern amenities. Onsen and kaiseki dining included.",WiFi|Pool|Spa|Restaurant|Bar|Room Service|Gym|Concierge|Onsen,1,2024-01-16 10:00:00,2025-02-01 12:00:00
3,Manhattan Suites,New York,USA,"350 Fifth Avenue, New York, NY 10118",245.00,4.7,2104,5,https://picsum.photos/seed/hotel-3/400/260,"Iconic skyscraper hotel with Empire State views and rooftop bar.",WiFi|Restaurant|Bar|Room Service|Gym|Concierge|Business Center,1,2024-01-17 10:00:00,2025-02-01 12:00:00
4,Ubud Haven,Bali,Indonesia,"Jl. Raya Sanggingan, Ubud, Gianyar 80571",156.00,4.9,756,4,https://picsum.photos/seed/hotel-4/400/260,"Peaceful retreat amid rice terraces. Yoga, spa, and organic restaurant.",WiFi|Pool|Spa|Restaurant|Yoga|Free Breakfast,1,2024-01-18 10:00:00,2025-02-01 12:00:00
5,The Ritz London,London,UK,"150 Piccadilly, London W1J 9BR",520.00,4.9,3421,5,https://picsum.photos/seed/hotel-5/400/260,"Legendary five-star hotel. Afternoon tea and fine dining in Mayfair.",WiFi|Restaurant|Bar|Room Service|Spa|Concierge|Valet Parking,0,2024-01-19 10:00:00,2025-02-01 12:00:00
6,Marina Bay Sands,Singapore,Singapore,"10 Bayfront Avenue, Singapore 018956",380.00,4.8,5678,5,https://picsum.photos/seed/hotel-6/400/260,"Infinity pool and skyline views. Casino, mall, and museum on site.",WiFi|Pool|Spa|Restaurant|Bar|Gym|Casino|Concierge,1,2024-01-20 10:00:00,2025-02-01 12:00:00
7,Hotel du Louvre,Paris,France,"Place Andre Malraux, 75001 Paris",220.00,4.6,1890,4,https://picsum.photos/seed/hotel-7/400/260,"Historic hotel facing the Louvre. Central for museums and shopping.",WiFi|Restaurant|Bar|Room Service|Concierge|Bike Rental,1,2024-01-21 10:00:00,2025-02-01 12:00:00
8,Park Hyatt Tokyo,Tokyo,Japan,"3-7-1-2 Nishi Shinjuku, Shinjuku-ku, Tokyo 163-1055",398.00,4.9,2156,5,https://picsum.photos/seed/hotel-8/400/260,"High-rise luxury with Lost in Translation fame. New York Grill and spa.",WiFi|Pool|Spa|Restaurant|Bar|Gym|Concierge,1,2024-01-22 10:00:00,2025-02-01 12:00:00
9,Chelsea Hotel,New York,USA,"222 West 23rd Street, New York, NY 10011",195.00,4.5,3200,4,https://picsum.photos/seed/hotel-9/400/260,"Bohemian landmark in Chelsea. Art, live music, and rooftop.",WiFi|Restaurant|Bar|Room Service|Concierge,1,2024-01-23 10:00:00,2025-02-01 12:00:00
10,Villa Seminyak,Bali,Indonesia,"Jl. Kayu Aya, Seminyak, Bali 80361",178.00,4.8,934,4,https://picsum.photos/seed/hotel-10/400/260,"Boutique villas with private pools. Steps from Seminyak beach.",WiFi|Pool|Restaurant|Spa|Beach Access,1,2024-01-24 10:00:00,2025-02-01 12:00:00
